,room_capacity,layout,property_type,location,city,price,area_in_sqft,status,deposit,no_bathrooms,facing
910,1,BHK,Apartment,Kondapur,Hyderabad,"22,000",670,Furnished,No,1,East
911,2,BHK,Apartment,Kondapur,Hyderabad,"22,000",1300,Semi-Furnished,No,2,East
912,2,BHK,Apartment,Kondapur,Hyderabad,"28,000",1500,Semi-Furnished,No,1,East
913,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",650,Unfurnished,No,1,East
914,2,BHK,Apartment,Kondapur,Hyderabad,"22,000",1300,Semi-Furnished,No,2,East
915,2,BHK,Apartment,Kondapur,Hyderabad,"24,000",1350,Unfurnished,No,2,East
916,1,BHK,Apartment,Kondapur,Hyderabad,"22,000",650,Furnished,No,1,East
917,1,BHK,Apartment,Kondapur,Hyderabad,"16,000",500,Semi-Furnished,No,1,
918,1,BHK,Apartment,Kondapur,Hyderabad,"17,000",600,Semi-Furnished,No,1,East
919,1,BHK,Apartment,Kondapur,Hyderabad,"16,000",600,Semi-Furnished,No,1,North
920,1,BHK,Apartment,Kondapur,Hyderabad,"16,000",600,Semi-Furnished,No,1,North
921,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",650,Semi-Furnished,No,1,East
922,1,BHK,Apartment,Kondapur,Hyderabad,"24,500",1350,Unfurnished,No,1,East
923,1,BHK,Apartment,Kondapur,Hyderabad,"22,000",670,Furnished,No,1,East
924,2,BHK,Apartment,Kondapur,Hyderabad,"25,011",1250,Semi-Furnished,No,2,
925,2,BHK,Apartment,Kondapur,Hyderabad,"25,500",1250,Semi-Furnished,No,2,
926,2,BHK,Apartment,Kondapur,Hyderabad,"25,000",1250,Semi-Furnished,No,2,
927,1,BHK,Apartment,Madhapur,Hyderabad,"17,000",700,Unfurnished,No,1,
928,2,BHK,Apartment,Madhapur,Hyderabad,"25,000",1300,Semi-Furnished,No,2,
929,1,BHK,Apartment,Madhapur,Hyderabad,"18,000",600,Semi-Furnished,No,1,
930,3,BHK,Apartment,Madhapur,Hyderabad,"51,000",1900,Semi-Furnished,No,3,
931,3,BHK,Apartment,Madhapur,Hyderabad,"50,000",2000,Semi-Furnished,No,3,
932,2,BHK,Apartment,Madhapur,Hyderabad,"33,000",1300,Semi-Furnished,No,2,
933,2,BHK,Apartment,Madhapur,Hyderabad,"29,000",1200,Semi-Furnished,No,2,
934,3,BHK,Apartment,Madhapur,Hyderabad,"50,000",2000,Furnished,No,3,
935,3,BHK,Apartment,Serilingampally,Hyderabad,"55,000",1535,Semi-Furnished,No,2,
936,1,BHK,Apartment,Kondapur,Hyderabad,"24,500",750,Furnished,No,1,NorthEast
937,1,BHK,Apartment,Kondapur,Hyderabad,"21,000",750,Semi-Furnished,No,1,West
938,3,BHK,Apartment,Kondapur,Hyderabad,"30,000",1800,Semi-Furnished,No,3,NorthEast
939,2,BHK,Apartment,Madhapur,Hyderabad,"37,000",1250,Furnished,No,2,
940,2,BHK,Apartment,Himayat Nagar,Hyderabad,"20,000",1100,Semi-Furnished,No,2,East
941,2,BHK,Apartment,Madhapur,Hyderabad,"37,000",1250,Furnished,No,2,
942,1,BHK,Apartment,Madhapur,Hyderabad,"24,500",650,Furnished,No,1,
943,2,BHK,Apartment,Madhapur,Hyderabad,"32,000",1250,Semi-Furnished,No,2,
944,2,BHK,Apartment,Shamshabad,Hyderabad,"30,000",1250,Semi-Furnished,No,2,
945,2,BHK,Apartment,Kondapur,Hyderabad,"26,000",1200,Semi-Furnished,No,2,
946,2,BHK,Apartment,Madhapur,Hyderabad,"35,000",1250,Furnished,No,2,
947,2,BHK,Apartment,Madhapur,Hyderabad,"37,000",1250,Furnished,No,2,
948,3,BHK,Apartment,Jubilee Hills,Hyderabad,"37,000",1850,Semi-Furnished,No,3,
949,3,BHK,Apartment,Madhapur,Hyderabad,"55,000",1850,Semi-Furnished,No,3,
950,2,BHK,Apartment,Madhapur,Hyderabad,"35,000",1250,Semi-Furnished,No,2,
951,2,BHK,Apartment,Madhapur,Hyderabad,"25,000",1250,Semi-Furnished,No,2,
952,2,BHK,Apartment,Madhapur,Hyderabad,"35,000",1650,Furnished,No,2,
953,2,BHK,Apartment,Madhapur,Hyderabad,"32,000",1250,Semi-Furnished,No,2,
954,2,BHK,Apartment,Madhapur,Hyderabad,"28,000",1850,Semi-Furnished,No,2,
955,3,BHK,Apartment,Madhapur,Hyderabad,"40,000",1850,Semi-Furnished,No,3,
956,2,BHK,Apartment,Madhapur,Hyderabad,"32,000",1650,Semi-Furnished,No,2,
957,2,BHK,Apartment,Madhapur,Hyderabad,"30,000",1850,Semi-Furnished,No,2,
958,2,BHK,Apartment,Madhapur,Hyderabad,"28,000",1900,Semi-Furnished,No,2,
959,2,BHK,Apartment,Madhapur,Hyderabad,"27,000",1100,Semi-Furnished,No,2,
960,3,BHK,Apartment,Madhapur,Hyderabad,"60,000",3500,Semi-Furnished,No,3,
961,3,BHK,Apartment,Sangareddy,Hyderabad,"60,000",3100,Semi-Furnished,No,3,
962,2,BHK,Apartment,Madhapur,Hyderabad,"37,000",1250,Unfurnished,No,2,
963,3,BHK,Apartment,Sangareddy,Hyderabad,"45,000",1250,Semi-Furnished,No,3,
964,2,BHK,Apartment,Madhapur,Hyderabad,"35,000",1250,Furnished,No,2,
965,3,BHK,Apartment,Madhapur,Hyderabad,"50,000",1850,Semi-Furnished,No,3,East
966,2,BHK,Apartment,Madhapur,Hyderabad,"27,000",1650,Semi-Furnished,No,2,
967,1,BHK,Apartment,Madhapur,Hyderabad,"23,000",650,Semi-Furnished,No,1,
968,2,BHK,Apartment,Madhapur,Hyderabad,"28,000",1250,Semi-Furnished,No,2,
969,2,BHK,Apartment,Madhapur,Hyderabad,"28,000",1650,Semi-Furnished,No,2,
970,1,BHK,Apartment,Madhapur,Hyderabad,"25,000",700,Furnished,No,1,
971,2,BHK,Apartment,Madhapur,Hyderabad,"33,000",1250,Furnished,No,2,
972,2,BHK,Apartment,Madhapur,Hyderabad,"35,000",1250,Furnished,No,2,
973,2,BHK,Apartment,Madhapur,Hyderabad,"25,000",1250,Semi-Furnished,No,2,
974,2,BHK,Apartment,Madhapur,Hyderabad,"32,000",1250,Semi-Furnished,No,2,
975,2,BHK,Apartment,Madhapur,Hyderabad,"35,000",1250,Furnished,No,2,
976,3,BHK,Apartment,Madhapur,Hyderabad,"42,000",2000,Semi-Furnished,No,3,
977,2,BHK,Apartment,Madhapur,Hyderabad,"38,000",1750,Furnished,No,2,
978,1,BHK,Apartment,Madhapur,Hyderabad,"19,000",800,Semi-Furnished,No,1,
